,index,cartodb_id,the_geom,the_geom_webmercator,country,cri_rank,cri_score,fatalities_per_100k_rank,fatalities_per_100k_total,fatalities_rank,fatalities_total,losses_per_gdp__rank,losses_per_gdp__total,losses_usdm_ppp_rank,losses_usdm_ppp_total,rw_country_code,rw_country_name,Continent
89,98,99,,,Lithuania,135,124.5,114,0,114,0,135,,135,0,LTU,Lithuania,Europe
90,99,100,,,Malawi,3,13.83,14,0.61,20,111,6,4.4507,23,907.985,MWI,Malawi,Africa
91,100,101,,,Libya,135,124.5,114,0,114,0,135,,135,0,LBY,Libya,Africa
92,101,102,,,Madagascar,8,23.33,17,0.49,19,118,17,0.6417,53,228.038,MDG,Madagascar,Africa
93,102,103,,,Malaysia,132,117,111,0.01,90,2,132,,126,0.276,MYS,Malaysia,Asia
94,103,104,,,Liberia,98,86,92,0.02,102,1,59,0.0983,112,3.694,LBR,Liberia,Africa
95,104,105,,,Malta,135,124.5,114,0,114,0,135,,135,0,MLT,Malta,Europe
96,105,106,,,Mali,124,105.83,87,0.03,78,5,127,0.0004,129,0.136,MLI,Mali,Africa
97,106,107,,,Netherlands,107,94.5,106,0.01,90,2,101,0.0151,63,126.514,NLD,Netherlands,Europe
98,107,108,,,Nigeria,86,76,79,0.04,26,79,105,0.0118,62,128.768,NGA,Nigeria,Africa
99,108,109,,,Morocco,134,121.5,113,0,102,1,134,,133,0.027,MAR,Morocco,Africa
100,109,110,,,Nicaragua,24,40.83,36,0.19,60,12,26,0.4262,61,134.805,NIC,Nicaragua,North America
101,110,111,,,Niger,90,77.17,46,0.12,49,21,103,0.0139,116,2.649,NER,Niger,Africa
102,111,112,,,New Zealand,85,75.83,94,0.02,102,1,55,0.1202,55,201.805,NZL,New Zealand,Oceania
103,112,113,,,Poland,71,67,71,0.06,47,22,88,0.0331,37,333.205,POL,Poland,Europe
104,113,114,,,Norway,76,70.83,64,0.08,81,4,79,0.0453,58,161.838,NOR,Norway,Europe
105,114,115,,,Papua New Guinea,25,41.5,38,0.18,55,14,27,0.4154,64,112.043,PNG,Papua New Guinea,Oceania
106,115,116,,,Portugal,121,104.5,96,0.02,90,2,119,0.0025,107,7.322,PRT,Portugal,Europe
107,116,117,,,Peru,32,45.5,44,0.14,34,45,58,0.0989,35,385.632,PER,Peru,South America
108,117,118,,,Pakistan,11,28.17,11,0.88,3,1663,60,0.0974,24,907.122,PAK,Pakistan,Asia
109,118,119,,,Panama,122,104.83,91,0.02,102,1,116,0.0039,113,3.436,PAN,Panama,North America
110,119,120,,,Paraguay,38,47.5,59,0.09,76,6,25,0.4655,41,284.588,PRY,Paraguay,South America
111,122,123,,,Senegal,124,105.83,114,0,114,0,94,0.022,105,8.071,SEN,Senegal,Africa
112,124,125,,,Bhutan,87,76.17,13,0.64,78,5,114,0.005,125,0.297,BTN,Bhutan,Asia
113,125,126,,,Uzbekistan,135,124.5,114,0,114,0,135,,135,0,UZB,Uzbekistan,Asia
114,126,127,,,Zambia,113,98.33,114,0,114,0,78,0.0456,92,28.5,ZMB,Zambia,Africa
115,127,128,,,Zimbabwe,14,29.5,33,0.21,43,29,10,0.9044,48,253.578,ZWE,Zimbabwe,Africa
116,128,129,,,Armenia,113,98.33,114,0,114,0,74,0.0522,100,13.266,ARM,Armenia,Europe
117,129,130,,,Botswana,75,70.17,114,0,114,0,15,0.6938,49,242.431,BWA,Botswana,Africa
118,130,131,,,Bangladesh,35,46.17,53,0.11,16,168,61,0.0959,33,556.442,BGD,Bangladesh,Asia
119,131,132,,,Belize,135,124.5,114,0,114,0,135,,135,0,BLZ,Belize,North America
120,132,133,,,Cape Verde,43,52,22,0.38,90,2,37,0.2494,104,8.511,CPV,Cape Verde,Africa
121,134,135,,,Burundi,15,33,16,0.51,33,48,23,0.4726,87,37.006,BDI,Burundi,Africa
122,135,136,,,Comoros,135,124.5,114,0,114,0,135,,135,0,COM,Comoros,Africa
123,136,137,,,Cyprus,135,124.5,114,0,114,0,135,,135,0,CYP,Cyprus,Europe
124,137,138,,,Dominica,2,13,1,43.66,42,31,1,77.3694,32,611.219,DMA,Dominica,North America
125,138,139,,,Saint Vincent and the Grenadines,135,124.5,114,0,114,0,135,,135,0,VCT,Saint Vincent and the Grenadines,North America
126,140,141,,,Costa Rica,91,77.5,81,0.04,90,2,67,0.0758,79,56.885,CRI,Costa Rica,North America
127,142,143,,,Switzerland,96,85.33,83,0.04,85,3,97,0.0196,67,94.589,CHE,Switzerland,Europe
128,143,144,,,Sudan,82,75.33,50,0.11,35,43,109,0.008,99,13.519,SDN,Sudan,Africa
129,144,145,,,Djibouti,135,124.5,114,0,114,0,135,,135,0,DJI,Djibouti,Africa
130,145,146,,,Jamaica,135,124.5,114,0,114,0,135,,135,0,JAM,Jamaica,North America
131,147,148,,,Luxembourg,135,124.5,114,0,114,0,135,,135,0,LUX,Luxembourg,Europe
132,148,149,,,El Salvador,47,53,63,0.08,78,5,29,0.349,56,184.311,SLV,El Salvador,North America
133,150,151,,,Tajikistan,22,37.67,47,0.12,68,10,9,1.0945,46,263.053,TJK,Tajikistan,Asia
134,152,153,,,Grenada,135,124.5,114,0,114,0,135,,135,0,GRD,Grenada,North America
135,153,154,,,Haiti,40,50.33,49,0.11,60,12,32,0.299,80,56.28,HTI,Haiti,North America
136,154,155,,,Guatemala,31,45,7,1.77,9,288,83,0.0419,81,52.921,GTM,Guatemala,North America
137,155,156,,,Israel,105,93.17,105,0.01,102,1,89,0.0317,69,90.509,ISR,Israel,Asia
138,156,157,,,Jordan,118,103.5,89,0.03,90,2,118,0.0028,117,2.314,JOR,Jordan,Asia
139,157,158,,,Tuvalu,81,75.17,114,0,114,0,3,33.3333,103,12.333,TUV,Tuvalu,Oceania
140,158,159,,,Kuwait,135,124.5,114,0,114,0,135,,135,0,KWT,Kuwait,Asia
141,159,160,,,Micronesia,12,28.5,3,8.74,71,9,4,12.5786,86,38.491,FSM,Federated States of Micronesia,Oceania
142,161,162,,,Mauritius,135,124.5,114,0,114,0,135,,135,0,MUS,Mauritius,Africa
